name,property_code,property_name_candidate,value,value_num,unit,source_sheet,match_status,next_action,notes
(2Z)-2-chlorobut-2-ene,Tb_K,boiling_point_c,70.6,70.60000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2,2-Pentafluoropropane",Tc_K,critical_temp_c,106.95,106.95000000000005,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2,2-Pentafluoropropane",Pc_MPa,critical_pressure_mpa,3.137,3.137,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1-Dichloroethane",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,30.75,30.75,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
(Chloromethyl)Oxirane,Tb_K,boiling_point_c,116.11,116.11000000000001,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
(E)-1-FLUORO-1-PROPENE,Tb_K,boiling_point_c,-25.89,-25.889999999999986,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
ACETALDEHYDE,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,25.47,25.47,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrachlorodifluoroethane",omega,acentric_factor,0.2784,0.2784,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
(TRIFLUOROMETHOXY)ETHENE,Tb_K,boiling_point_c,-25.61,-25.609999999999985,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2-Tetrachlorodifluoroethane",Tc_K,critical_temp_c,278.85,278.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2-Tetrachlorodifluoroethane",Pc_MPa,critical_pressure_mpa,3.34,3.34,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Ethane, Chloro-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,24.73,24.73,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2-Tetrachloroethane",Tc_K,critical_temp_c,350.85,350.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2-Tetrachloroethane",Pc_MPa,critical_pressure_mpa,4.02,4.02,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
DI(METHYL-D3)AMINE,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,25.05,25.05,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1-Dichloroethylene",omega,acentric_factor,0.2721,0.2721,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
(Z)-1-FLUORO-1-PROPENE,Tb_K,boiling_point_c,-25.89,-25.889999999999986,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Propane,2,2-Dichloro-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,32.64,32.64,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1, 4-Hexadiyne",Tb_K,boiling_point_c,81.7,81.70000000000005,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,3-Dichloropropane",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,40.75,40.75,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2-Tetrachloroethane",omega,acentric_factor,0.2422,0.2422,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2,2,3,3,4,4-Nonafluorobutane",Tb_K,boiling_point_c,14,14.0,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trichloroethane",Tc_K,critical_temp_c,271.85,271.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trichloroethane",Pc_MPa,critical_pressure_mpa,4.3,4.3,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrachloroethane",omega,acentric_factor,0.2467,0.2467,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2,2,3,3-Heptafluorobutane",Tb_K,boiling_point_c,11,11.0,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trifluoro-2-(trifluoromethoxy)ethane",Tc_K,critical_temp_c,130.85,130.85000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trifluoro-2-(trifluoromethoxy)ethane",Pc_MPa,critical_pressure_mpa,3.00302,3.00302,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
Thietane,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,35.97,35.97,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2,2,3-Hexafluoropropane",Tb_K,boiling_point_c,1.44,1.4399999999999977,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-trifluoro-2,2-dimethylpropane",Tc_K,critical_temp_c,178.85,178.85000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-trifluoro-2,2-dimethylpropane",Pc_MPa,critical_pressure_mpa,3.10364,3.10364,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Propane, 2-Chloro-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,26.9,26.9,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2,2-pentafluoro-3-(trifluoromethoxy)propane",Tb_K,boiling_point_c,26.21,26.210000000000036,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-TRIFLUORO-2-BUTYNE",Tc_K,critical_temp_c,178.85,178.85000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-TRIFLUORO-2-BUTYNE",Pc_MPa,critical_pressure_mpa,3.66248,3.66248,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Propane, 1-Chloro-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,28.35,28.35,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
VINYL-BROMIDE,omega,acentric_factor,0.2765,0.2765,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2,2-Pentafluoropropane",Tb_K,boiling_point_c,-17.4,-17.399999999999977,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-TRIFLUOROACETONE",Tc_K,critical_temp_c,160.85,160.85000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-TRIFLUOROACETONE",Pc_MPa,critical_pressure_mpa,3.71687,3.71687,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-TRIFLUOROBUTANE",Tc_K,critical_temp_c,161.85,161.85000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-TRIFLUOROBUTANE",Pc_MPa,critical_pressure_mpa,3.38808,3.38808,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
Isopropyl-Mercaptan,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,29.45,29.45,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trichloroethane",omega,acentric_factor,0.2183,0.2183,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2,3,3-hexafluoro-3-methoxypropane",Tb_K,boiling_point_c,54.32,54.32000000000005,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2-Trichloroethane",omega,acentric_factor,0.2591,0.2591,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2,3,3-hexafluoro-1-methoxypropane",Tc_K,critical_temp_c,213.83,213.83000000000004,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2,3,3-hexafluoro-1-methoxypropane",Pc_MPa,critical_pressure_mpa,2.9157296,2.9157296,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2,3,4,4,4-Octafluorobutane",Tb_K,boiling_point_c,33,33.0,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrachlorodifluoroethane",Tc_K,critical_temp_c,277.85,277.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrachlorodifluoroethane",Pc_MPa,critical_pressure_mpa,3.34,3.34,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
Tert-BUTYL-MERCAPTAN,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,30.78,30.78,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1-Dichloroethane",omega,acentric_factor,0.2339,0.2339,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2-Tetrachlorodifluoroethane",Tb_K,boiling_point_c,91.5,91.5,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrachloroethane",Tc_K,critical_temp_c,371.85,371.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrachloroethane",Pc_MPa,critical_pressure_mpa,4.089,4.089,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"2-Butanethiol,(+-)-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,33.99,33.99,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1,2-Tetrachloroethane",Tb_K,boiling_point_c,130.5,130.5,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",Tc_K,critical_temp_c,190.74,190.74,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",Pc_MPa,critical_pressure_mpa,2.7122831,2.7122831,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
